config,question_model,doc_model,mode,sparse_weight,scope,neighbor_tolerance,group_kind,corpus,document,n_queries,recall@5,recall@10,mrr@10,ndcg@10
kb,kure,bge,dense,,doc,0,q_type_phrasing,mixed,2 식별자+의미기반 / 의역,50,0.74,0.76,0.6658,0.6894
kb,kure,bge,dense,,doc,0,q_type_phrasing,mixed,2 식별자+의미기반 / 직접포함,50,0.74,0.76,0.6443,0.6726
kb,kure,bge,dense,,doc,0,q_type_phrasing,mixed,3 화자기반 / 의역,50,0.46,0.6,0.3751,0.4273
kb,kure,bge,dense,,doc,0,q_type_phrasing,mixed,3 화자기반 / 직접포함,50,0.82,0.9,0.67,0.7256
kb,kure,bge,dense,,doc,0,q_type_phrasing,mixed,4 날짜기반 / 의역,50,0.14,0.16,0.1089,0.1213
kb,kure,bge,dense,,doc,0,q_type_phrasing,mixed,4 날짜기반 / 직접포함,50,0.64,0.72,0.4931,0.5486
kb,kure,bge,dense,,doc,0,document_q_type,en,jabber_en / 1 의미기반,50,0.24,0.32,0.2061,0.2321
kb,kure,bge,dense,,doc,0,document_q_type,en,jabber_en / 2 식별자+의미기반,50,0.76,0.76,0.639,0.6694
kb,kure,bge,dense,,doc,0,document_q_type,en,jabber_en / 3 화자기반,50,0.6,0.74,0.5181,0.57
kb,kure,bge,dense,,doc,0,document_q_type,en,jabber_en / 4 날짜기반,50,0.32,0.4,0.238,0.2767
kb,kure,bge,dense,,doc,0,document_q_type,ru,jabber_ru / 1 의미기반,50,0.32,0.38,0.2707,0.2969
kb,kure,bge,dense,,doc,0,document_q_type,ru,jabber_ru / 2 식별자+의미기반,50,0.72,0.76,0.6712,0.6926
kb,kure,bge,dense,,doc,0,document_q_type,ru,jabber_ru / 3 화자기반,50,0.68,0.76,0.527,0.583
kb,kure,bge,dense,,doc,0,document_q_type,ru,jabber_ru / 4 날짜기반,50,0.46,0.48,0.364,0.3932
kb,kure,bge,dense,,doc,0,overall,multi,ALL(다국어),400,0.5125,0.575,0.4293,0.4642
kb,kure,bge,dense,,doc,0,overall,all,ALL,400,0.5125,0.575,0.4293,0.4642
kk,kure,kure,dense,,doc,0,document,en,jabber_en,200,0.52,0.585,0.4302,0.4673
kk,kure,kure,dense,,doc,0,document,ru,jabber_ru,200,0.54,0.615,0.4437,0.4841
kk,kure,kure,dense,,doc,0,q_type,mixed,QTYPE(1 의미기반),100,0.33,0.39,0.2473,0.2812
kk,kure,kure,dense,,doc,0,q_type,mixed,QTYPE(2 식별자+의미기반),100,0.76,0.81,0.6974,0.7244
kk,kure,kure,dense,,doc,0,q_type,mixed,QTYPE(3 화자기반),100,0.65,0.79,0.4909,0.5613
kk,kure,kure,dense,,doc,0,q_type,mixed,QTYPE(4 날짜기반),100,0.38,0.41,0.3121,0.336
kk,kure,kure,dense,,doc,0,phrasing,mixed,PHRASE(의역),200,0.38,0.46,0.3132,0.3478
